"code";"name";"sku";"price";"short_description";"description";"epaisseur";"longueur";"largeur";"choix";"country_of_manufacture";"attribute_set";"store";"type";"root_category";"product_websites";"weight";"status";"visibility";"tax_class_id"
"TF00000SATBCLBL";"Saturateur Environnement Bois Clair  ";"3239917102911";"20,80";"Imprégnation et protection des boiseries et menuiseries extérieures";"Naturellement pénétrant, le Saturateur Bois est destiné à la protection des bois difficilement imprégnables. Son application rationnelle humide sur humide conduit à la formation d'une protection nourissante. Recommandé sur terrasses, barrières, caillebotis, portails, ponts de bateaux, mobilier de jardin.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMBCOFI000IPASV";"Lame De Terrasse Bois Composite Teinte Ipe  Antiderapant Fixation Invisible   ";"3760102970218";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"23,000";"4000,0000";"138,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TMIPEFACOU000LO";"Lame De Terrasse Ipe Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"121130270";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"130,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TA00000KFI000BS";"Kit Fixation Invisible  (clip +  Vis Conso 10/12/m2 ) ";"0000000000636";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TF00000SATBFOBL";"Saturateur Environnement Bois Foncé";"3239911102931";"20,80";"Imprégnation et protection des boiseries et menuiseries extérieures";"Naturellement pénétrant, le Saturateur Bois est destiné à la protection des bois difficilement imprégnables. Son application rationnelle humide sur humide conduit à la formation d'une protection nourissante. Recommandé sur terrasses, barrières, caillebotis, portails, ponts de bateaux, mobilier de jardin.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TF00000SATBFOBL";"Saturateur Environnement Bois Foncé";"3239917102935";"20,80";"Imprégnation et protection des boiseries et menuiseries extérieures";"Naturellement pénétrant, le Saturateur Bois est destiné à la protection des bois difficilement imprégnables. Son application rationnelle humide sur humide conduit à la formation d'une protection nourissante. Recommandé sur terrasses, barrières, caillebotis, portails, ponts de bateaux, mobilier de jardin.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TF00000SATBFOBL";"Saturateur Environnement Bois Foncé";"3239918102934";"20,80";"Imprégnation et protection des boiseries et menuiseries extérieures";"Naturellement pénétrant, le Saturateur Bois est destiné à la protection des bois difficilement imprégnables. Son application rationnelle humide sur humide conduit à la formation d'une protection nourissante. Recommandé sur terrasses, barrières, caillebotis, portails, ponts de bateaux, mobilier de jardin.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMRES00CAV000AB";"Lame De Terrasse Bois Resineux Campagne Vieilli  ";"6302005000567";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"30,000";"5000,0000";"200,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TA00000VIS000AF";"Vis Inox Torxa2 Couleur Bronze (Boite De 150)";"5550283";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TABCO00JUPIPLSV";"Jupe De Finition Bois Composite Teinte Ipe Lisse ";"3760102973173";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"20,000";"2000,0000";"70,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TMBCOFI000IPLSV";"Lame De Terrasse Bois Composite Teinte Ipe Lisse Fixation Invisible  ";"3760102970751";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"23,000";"4000,0000";"138,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TDCUM00COU000LO";"Dalle De Terrasse  Cumaru Courant Profil Lisse";"9500500281";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"42,000";"500,0000";"500,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TMIPEFICOU000LO";"Lame De Terrasse Ipe Choix Courant Fixation Invisible 1 Face Lisse ";"121130271";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"130,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TAELO00LBERABAS";"Lambourde Elondo Rabote 4 Faces ";"942602822130";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"42,000";"2130,0000";"60,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TAELO00LBERABAS";"Lambourde Elondo Rabote 4 Faces ";"942602822250";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"42,000";"2250,0000";"60,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TAELO00LBERABAS";"Lambourde Elondo Rabote 4 Faces ";"942602822280";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"42,000";"2280,0000";"60,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TAELO00LBERABAS";"Lambourde Elondo Rabote 4 Faces ";"942602823160";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"42,000";"3160,0000";"60,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMCHEFACOUNATBS";"Lame De Terrasse Chêne Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"921140277";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"140,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMCHEFACOUNATBS";"Lame De Terrasse Chêne Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"921120277";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"120,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMCHEFACOUNATBS";"Lame De Terrasse Chêne Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"921100277";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"100,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TA00000PLO000LO";"Plot Reglable   ";"00011909";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TA00000PLO000LO";"Plot Reglable   ";"00011911";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TA00000PLO000LO";"Plot Reglable   ";"00011913";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TA00000PLO000LO";"Plot Reglable   ";"00011907";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMMLZFACOU000GI";"Lame De Terrasse Meleze Choix Courant Fixation A Visser 2 Faces Lisses";"1281452741305";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"28,000";"3000,0000";"145,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
