Article;Code_EAN_Article;Article Designation;Epaisseur;Largeur;Longueur;Base3;Choix;Article Famille
TMELOFICOU000LO;121130273;"TERRASSE MONOLAME ELONDO CHOIX COURANT  FIXATION INVISIBLE 2 FACES LISSES  RAINURE ET LANGUETTE EN BOUT.";21,000;130,000;0,0000;;PR0;10TERRASSE
TF00000DEG000BL;3239911102214;TERRASSE FINITION  DEGRISEUR  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000DEG000BL;3239913102212;TERRASSE FINITION  DEGRISEUR  ;0,000;0,000;0,0000;;;10TERRASSE
TMTECFACOU000EB;919120610;"TERRASSE MONOLAME TECK  CHOIX COURANT A VISSER 2 FACES LISSES. RAINURE LANGUETTE EN BOUT";19,000;120,000;0,0000;;;10TERRASSE
TMTECFACOU000EB;919140610;"TERRASSE MONOLAME TECK  CHOIX COURANT A VISSER 2 FACES LISSES. RAINURE LANGUETTE EN BOUT";19,000;140,000;0,0000;;;10TERRASSE
TMBCOFI000ABCSV;3760102970126;TERRASSE MONOLAME BOIS COMPOSITE TEINTE BRUN COLORADO ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;0,00;;10TERRASSE
TABCO00JUPGILSV;3760102973165;TERRASSE ACCESSOIRE JUPE DE FINITION  BOIS COMPOSITE TEINTE GRIS IROISE LISSE ;20,000;70,000;2000,0000;;;10TERRASSE
TABCO00JUPLBCSV;3760102973141;TERRASSE ACCESSOIRE JUPE DE FINITION  BOIS COMPOSITE TEINTE BRUN COLORADO LISSE ;20,000;70,000;2000,0000;0,00;;10TERRASSE
TMACAFACOU00BS;921120279;"TERRASSE MONOLAME ACACIA CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;120,000;0,0000;;;10TERRASSE
TMACAFACOU00BS;921100279;"TERRASSE MONOLAME ACACIA CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;100,000;0,0000;;;10TERRASSE
TMPSYFACOUTACSW;9271452763600;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE VERT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3600,0000;;COU;10TERRASSE
TMPSYFACOUTACSW;9271452764800;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE VERT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4800,0000;;COU;10TERRASSE
TMPSYFACOUTACSW;9271452764200;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE VERT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4200,0000;0,00;COU;10TERRASSE
TMPSYFACOUTACSW;9271452763000;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE VERT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3000,0000;0,00;COU;10TERRASSE
TMDGLFACOU000GI;9281452751305;"TERRASSE MONOLAME DOUGLAS CHOIX COURANT A VISSER 2 FACES LISSES.";28,000;145,000;3000,0000;;COU;10TERRASSE
TMFREFACOUTHBBS;921140278;"TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;140,000;0,0000;;COU;10TERRASSE
TMFREFACOUTHBBS;921100278;"TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;100,000;0,0000;;COU;10TERRASSE
TMFREFACOUTHBBS;921120278;"TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;120,000;0,0000;;COU;10TERRASSE
TF00000SATNATBL;3239911102948;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT NATUREL   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATNATBL;3239918102941;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT NATUREL   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATNATBL;3239917102942;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT NATUREL   ;0,000;0,000;0,0000;;;10TERRASSE
TMBCOFI000LBCSV;3760102970737;TERRASSE MONOLAME BOIS COMPOSITE TEINTE BRUN COLORADO LISSE FIXATION INVISIBLE  ;23,000;138,000;4000,0000;0,00;;10TERRASSE
TA00000FGE000SP;00011334;TERRASSE ACCESSOIRE  FIBRE GEOTEXTIL  ;0,000;1,000;25,0000;;;10TERRASSE
TF00000SATBCLBL;3239918102910;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS CLAIR  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBCLBL;3239911102917;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS CLAIR  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBCLBL;3239917102911;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS CLAIR  ;0,000;0,000;0,0000;;;10TERRASSE
TMBCOFI000IPASV;3760102970218;TERRASSE MONOLAME BOIS COMPOSITE TEINTE IPE  ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;;;10TERRASSE
TMIPEFACOU000LO;121130270;TERRASSE MONOLAME IPE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.;21,000;130,000;0,0000;;PR0;10TERRASSE
TA00000KFI000BS;0000000000636;TERRASSE ACCESSOIRE KIT FIXATION INVISIBLE  (CLIP +  VIS CONSO 10/12/M2 ) ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBFOBL;3239911102931;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS FONCE  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBFOBL;3239917102935;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS FONCE  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBFOBL;3239918102934;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS FONCE  ;0,000;0,000;0,0000;;;10TERRASSE
TMRES00CAV000AB;6302005000567;TERRASSE MONOLAME BOIS RESINEUX CAMPAGNE VIEILLI  ;30,000;200,000;5000,0000;;CAV;10TERRASSE
TA00000VIS000AF;5550283;TERRASSE ACCESSOIRE VIS INOX TORXA2 COULEUR BRONZE  ( BOITE DE 150 );0,000;0,000;0,0000;;;10TERRASSE
TABCO00JUPIPLSV;3760102973173;TERRASSE ACCESSOIRE JUPE DE FINITION  BOIS COMPOSITE TEINTE IPE LISSE ;20,000;70,000;2000,0000;;;10TERRASSE
TMBCOFI000IPLSV;3760102970751;TERRASSE MONOLAME BOIS COMPOSITE TEINTE IPE LISSE FIXATION INVISIBLE  ;23,000;138,000;4000,0000;;;10TERRASSE
TDCUM00COU000LO;9500500281;TERRASSE DALLE CUMARU COURANT PROFIL LISSE;42,000;500,000;500,0000;;COU;10TERRASSE
TMIPEFICOU000LO;121130271;"TERRASSE MONOLAME IPE CHOIX COURANT FIXATION INVISIBLE 1 FACE LISSE ";21,000;130,000;0,0000;;PR0;10TERRASSE
TAELO00LBERABAS;942602822130;TERRASSE ACCESSOIRE LAMBOURDE ELONDO RABOTE 4  FACES ;42,000;60,000;2130,0000;;;10TERRASSE
TAELO00LBERABAS;942602822250;TERRASSE ACCESSOIRE LAMBOURDE ELONDO RABOTE 4  FACES ;42,000;60,000;2250,0000;;;10TERRASSE
TAELO00LBERABAS;942602822280;TERRASSE ACCESSOIRE LAMBOURDE ELONDO RABOTE 4  FACES ;42,000;60,000;2280,0000;;;10TERRASSE
TAELO00LBERABAS;942602823160;TERRASSE ACCESSOIRE LAMBOURDE ELONDO RABOTE 4  FACES ;42,000;60,000;3160,0000;;;10TERRASSE
TMCHEFACOUNATBS;921140277;"TERRASSE MONOLAME CHENE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;140,000;0,0000;;;10TERRASSE
TMCHEFACOUNATBS;921120277;"TERRASSE MONOLAME CHENE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;120,000;0,0000;;;10TERRASSE
TMCHEFACOUNATBS;921100277;"TERRASSE MONOLAME CHENE CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;100,000;0,0000;;;10TERRASSE
TA00000PLO000LO;00011909;TERRASSE ACCESSOIRE PLOT REGLABLE   ;0,000;0,000;0,0000;;;10TERRASSE
TA00000PLO000LO;00011911;TERRASSE ACCESSOIRE PLOT REGLABLE   ;0,000;0,000;0,0000;;;10TERRASSE
TA00000PLO000LO;00011913;TERRASSE ACCESSOIRE PLOT REGLABLE   ;0,000;0,000;0,0000;;;10TERRASSE
TA00000PLO000LO;00011907;TERRASSE ACCESSOIRE PLOT REGLABLE   ;0,000;0,000;0,0000;;;10TERRASSE
TMMLZFACOU000GI;1281452741305;TERRASSE MONOLAME MELEZE CHOIX COURANT FIXATION A VISSER 2 FACES LISSES;28,000;145,000;3000,0000;;PR0;10TERRASSE
TF00000NBC000BL;3239911106700;TERRASSE FINITION  NETTOYANT BOIS COMPOSITE  ;0,000;0,000;0,0000;;;10TERRASSE
TMBCOFI000GILSV;3760102970744;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS IROISE LISSE FIXATION INVISIBLE  ;23,000;138,000;4000,0000;;;10TERRASSE
TAPIN00LBETACSW;945703293000;TERRASSE ACCESSOIRE LAMBOURDE PIN TRAITE AUTOCLAVE;45,000;70,000;3000,0000;;;10TERRASSE
TABCO00CLS000SV;3760102970058;TERRASSE ACCESSOIRE CLIP COMPOSITE SIMPLE ET VIS INOX BOITE DE 30. ( CONSO 18/M2 )  ;0,000;0,000;0,0000;;;10TERRASSE
TMELOFACOU000LO;121130272;"TERRASSE MONOLAME ELONDO CHOIX COURANT  FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";21,000;130,000;0,0000;;PR0;10TERRASSE
TABCO00CLA000SV;3760102970157;TERRASSE ACCESSOIRE CLIP COMPOSITE D' ABOUTAGE ET VIS INOX BOITE DE 10.   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBEXBL;3239917102928;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS EXOTIQUE   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBEXBL;3239918102927;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS EXOTIQUE   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATBEXBL;3239911102924;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT BOIS EXOTIQUE   ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATCHEBL;3239911102900;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT CHENE;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATCHEBL;3239917102904;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT CHENE;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATCHEBL;3239918102903;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT CHENE;0,000;0,000;0,0000;;;10TERRASSE
TA00000CFI000LO;280500;TERRASSE ACCESSOIRE CLIP BOIS FIXATION INVISIBLE ( CONSO 20/M2 ) ;0,000;0,000;0,0000;;;10TERRASSE
TA00000CFI000LO;280200;TERRASSE ACCESSOIRE CLIP BOIS FIXATION INVISIBLE ( CONSO 20/M2 ) ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239918102958;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239916101540;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239911102955;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TABCO00CDF000SV;3760102970171;TERRASSE ACCESSOIRE CLIP COMPOSITE DEBUT ET FIN  ET VIS INOX BOITE DE 10.;0,000;0,000;0,0000;;;10TERRASSE
TMBCOFI000GAASV;3760102970980;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;;;10TERRASSE
TMFREFICOUTHBBS;921100311;"TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION INVISIBLE  FACE LISSE ET BOMBE AVEC FIXATION ET VIS";21,000;100,000;0,0000;;COU;10TERRASSE
TMBCOFI000GALSV;3760102971055;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE LISSE FIXATION INVISIBLE  ;23,000;138,000;4000,0000;;;10TERRASSE
TMBCOFI000GIASV;3760102970201;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS IROISE ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;;;10TERRASSE
TMPSYFACOUTAMSW;9271456413600;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3600,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456414800;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4800,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456414200;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4200,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456413000;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3000,0000;0,00;COU;10TERRASSE
TABCO00JUPGALSV;3760102973172;TERRASSE ACCESSOIRE JUPE DE FINITION  BOIS COMPOSITE TEINTE GRIS ANTHRACITE  LISSE ;20,000;70,000;2000,0000;;;10TERRASSE