"Node type ","Node type "
"docfolder","Document folder"
"document","Document"
"not allowed doctype","Doctypes not allowed"
"base","Base"
"Menu tree","Navigation tree"
"Menu configuration","Navigation configuration"
"name","Name"
"navigation_saved_successfully","navigation saved successfuly"
"object","Object"
"objectfolder","Object folder"
"Childs nodes","Recursion settings"
"Ignore folder","Ignore folder"
"max death","Max death"
"This node","This node"
"Allow childs","Allow recursion"
"Only childs","Only children"
"routemap","Route mapping"
"Route mapping","Route mapping"
"Choose the classe","Choose the classe"
"sitemap_settings","Navigation settings"
"add_menu","Add a navigation"
"user","User"
"base settings","Base settings"
"label variable","Label variable"
"bool property","Exclude bool property"
"Label property","Label property"
"Link type","Link type"
"Custom link","Custum Url"
"Label","Label"
"Add menu item","Add navigation item"
"Add route mapping","Add route mapping"
"select route","Select route"
"Ordering key","Ordering key"
"is field key","is field key"
"Label field","Label field"
"Document folder","Document folder"
"Choose the doctype","Choose the doctype"
"Menu settings","Navigation settings"
"enter_the_name_of_the_new_menu","Enter the name of the new navigation"
"css variable","Css class variable"
"Define Css class","Define Css class"
"Css class property","Css class property"
"Default changing frequency","Default changing frequency"
"Default priority","Default priority"
"Changing frequency Property","Changing frequency Property"
"Priority Property","Priority Property"
"Sitemap settings","Sitemap settings"
"Is a rule","Is a rule of recursion"
"Add doctype rule","Add doctype rule"
"doctype","Doctype"
"Field key","Field key"
"order direction","ordering direction"
"objectfield","Children from field"
"objectfield name","Field name that contain children"