"Node type ","Type de noeux "
"docfolder","Dossier de document"
"document","Document"
"not allowed doctype","Doctypes non autorisés"
"base","Base"
"Menu tree","Arbre de navigation"
"Menu configuration","Configuration de la navigation"
"name","Nom"
"navigation_saved_successfully","navigation sauveguardé"
"object","Objet"
"objectfolder","Dossier d'objet"
"Childs nodes","Configuration de la récursion"
"Ignore folder","Ignorer les dossiers"
"max death","Max death"
"This node","Ce noeux"
"Allow childs","Autoriser recursion"
"Only childs","Seulement les enfants"
"routemap","Mappage de route"
"Route mapping","Mapage de route"
"Choose the classe","Choisissez la classe"
"sitemap_settings","Gestions des navigations"
"add_menu","Ajouter une navigation"
"user","Utilisateur"
"base settings","Configuration de base"
"label variable","Variable de label"
"bool property","Propriété d'exclusion"
"Label property","Propriété de label"
"Link type","Type de lien"
"Custom link","Url personnalisé"
"Label","Label"
"Add menu item","Ajouter un élément de navigation"
"Add route mapping","Ajouter un mappage de route"
"select route","Choisir une route"
"Ordering key","Clé d'ordonancement"
"is field key","Est une clé de champs"
"Label field","Champs label"
"Document folder","Dossier de document"
"Choose the doctype","Choisir le doctype"
"Menu settings","Gestions des navigations"
"enter_the_name_of_the_new_menu","Entrez le nom de la nouvelle navigation"
"css variable","Variable de class Css"
"Define Css class","Définir la classe Css"
"Css class property","Propriété de classe Css"
"Default changing frequency","Fréquence de changement par défaut"
"Default priority","Priorité par défaut"
"Changing frequency Property","Propriété de fréquence de changement"
"Priority Property","Propriété de priorité"
"Sitemap settings","Configuration du sitemap"
"Is a rule","Est une règle pour la récursion"
"Add doctype rule","Ajouter une règle Doctype"
"doctype","Doctype"
"Field key","Nom du champ"
"order direction","direction de classement"
"objectfield","Enfant depuis un champ"
"objectfield name","Champs contenant les enfants"