texttemplate_wysiwyg,"WYSIWYG mit Textbausteinen"
templateWysiwyg,"WYSIWYG mit Textbausteinen"
templateWysiwyg_settings,"Einstellungen (WYSIWYG with Texttemplates)"
texttemplate_show_preview,"Vorschau anzeigen"
texttemplate_show_edit,"Editieren"
texttemplates,"Textbausteine"
texttemplates_texttemplateList,"Testbausteinliste"
add_new_template,"Neuen Textbaustein hinzufügen"
please_enter_the_name_of_the_new_texttemplate, "Bitte Namen für neuen Textbaustein eingeben"
error_create_texttemplate, "Fehler beim Erstellen des Textbausteins"
texttempalte_name_empty, "Textbausteinname ist leer"
texttempalte_name_already_in_use, "Textbausteinname bereits in Verwendung"
rename_texttemplate, "Textbaustein umbenennen"
please_enter_the_new_name_of_the_texttemplate, "Bitte neuen Namen für Textbaustein eingeben"
texttemplate_has_been_removed, "Textbaustein wurde entfernt"
error_removed_texttemplate, "Fehler beim Entfernen des Textbausteins"
texttemplate_has_been_renamed, "Textbaustein wurde umbenannt"
error_rename_texttemplate, "Fehler beim Umbenennen des Textbausteins"
texttemplate, "Textbaustein"
texttemplate_has_been_saved, "Textbaustein wurde gespeichert"
error_saving_texttemplate, "Fehler beim Speichern des Textbausteins"
remove_textemplate, "Textbaustein wurde entfernt"
remove_textemplate_text, "Textbaustein wirklich löschen?"
selected_texttemplate,"Ausgewählter Textbaustein"
insert,"einfügen"
"texttemplatevariable","Variablen"
"please_check_name_of_the_new_texttemplate", "Der angegebene Name ist ungültig. <br/>Bitte Name des neuen Textbaustein überprüfen."
"category","Kategorie"
texttemplate_insert_variable_full_path,"Genauen Pfad verwenden"