texttemplate_wysiwyg,"WYSIWYG with Texttemplates"
templateWysiwyg,"WYSIWYG with Texttemplates"
templateWysiwyg_settings,"Settings (WYSIWYG with Texttemplates)"
texttemplate_show_preview,"Show Preview"
texttemplate_show_edit,"Edit"
texttemplates,"Texttemplates"
texttemplates_texttemplateList,"Texttemplate List"
add_new_template,"Add new Texttemplate"
please_enter_the_name_of_the_new_texttemplate, "Please enter the name of the new Texttemplate"
error_create_texttemplate, "Error creating Texttemplate"
texttempalte_name_empty, "Name is empty"
texttempalte_name_already_in_use, "Texttemplate name already in use"
rename_texttemplate, "Rename Texttemplate"
please_enter_the_new_name_of_the_texttemplate, "Please enter the new name of the Texttemplate"
texttemplate_has_been_removed, "Texttemplate has been removed"
error_removed_texttemplate, "Error during removing Texttemplate"
error_create_texttemplate, "Error during creating Texttemplate"
texttemplate_has_been_renamed, "Texttemplate has been renamed"
error_rename_texttemplate, "Error during renaming Texttemplate"
texttemplate, "Texttemplate"
texttemplate_has_been_saved, "Texttemplate has been saved"
error_saving_texttemplate, "Error saving Texttemplate"
remove_textemplate, "Remove Textemplate"
remove_textemplate_text, "Really remove this Texttemplate?"
selected_texttemplate,"Selected Texttemplate"
insert,"insert"
"texttemplatevariable","Variables"
"please_check_name_of_the_new_texttemplate", "The given name is invalid. <br/>Please check the name of the new Texttemplate."
"category","Category"
texttemplate_insert_variable_full_path,"Force exact path"